AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
-0.26517045,-0.035991788,1.0033798,0.011759156,0.009162978,0.011530082,SLOW,3583135,2
0.17130029,-0.08994275,0.79482555,0.044745877,-0.05681047,-0.010461068,SLOW,3583135,2
-0.068184495,0.49307245,0.37169743,0.016035212,0.032375857,0.016417004,SLOW,3583136,2
0.26890612,0.8851,-0.6618309,0.04718934,-0.02443461,0.024358252,SLOW,3583137,2
-0.53480095,-0.46533552,0.04627323,-0.0053450707,0.02687807,0.04757113,SLOW,3583137,2
-0.16999757,0.31774297,0.33186054,-0.005955936,-0.009162978,0.034132097,SLOW,3583138,2
0.22248244,-1.2969297,0.32770348,0.044135015,0.06291912,0.04757113,SLOW,3583138,2
1.1691259,-0.499415,0.53702354,-0.068264194,0.031154128,0.053068917,SLOW,3583139,2
-0.058443308,-0.20075727,0.52597904,0.047800206,-0.029932396,-0.019013181,SLOW,3583139,2
0.84520125,0.29833633,1.1947842,0.027641652,0.095294975,-0.0019089539,SLOW,3583140,2
-0.29107618,0.07372004,-0.588809,-0.056046885,-0.053145275,-0.004352415,SLOW,3583140,2
-1.2406714,-0.10816643,0.3534727,-0.01817324,-0.05497787,-0.02695443,SLOW,3583141,2
0.7283801,0.36735308,0.06679344,-0.09208794,-0.12156218,0.0023671028,SLOW,3583141,2
0.19485688,0.11944918,-0.9400759,0.06246097,0.05497787,-0.021456642,SLOW,3583142,2
-0.86528695,0.3464476,0.3333702,0.0777326,0.07391469,0.00908662,SLOW,3583142,2
-0.77391607,-0.9655057,-0.91357803,0.011148291,-0.03481932,0.012751812,SLOW,3583143,2
0.9016063,0.055247545,0.32018566,0.051465396,0.029932396,0.025579982,SLOW,3583144,2
-0.32432163,-1.6423582,-0.36536598,0.036193766,-0.01282817,0.010919216,SLOW,3583144,2
-0.62869,0.53036743,-1.0693111,-0.062155537,-0.023823744,0.053068917,SLOW,3583145,2
0.1371814,0.066216886,0.79053307,-0.0065668016,0.018325957,0.025579982,SLOW,3583145,2
0.2504363,-0.18862695,0.40454197,-0.04138612,0.01038471,0.02069306,SLOW,3583146,2
-0.20033169,-0.29385883,-0.22278786,-0.00045814895,0.007941248,-0.0061850105,SLOW,3583146,2
-0.87175417,-0.36005077,-0.90731525,0.004428773,0.018936822,0.0017562376,SLOW,3583147,2
0.5174571,0.32241356,0.24287891,0.03436117,-0.027488936,-0.02023491,SLOW,3583147,2
-0.482468,-0.4600702,0.04632473,0.014813482,-0.016493361,-0.007406741,SLOW,3583148,2
-0.80872935,0.08080894,0.2968788,-0.0096211275,-0.092240654,0.031688634,SLOW,3583148,2
-0.5674398,-0.80574435,-0.4322424,0.04596761,0.029932396,0.020082194,SLOW,3583149,2
0.10845363,0.3955403,-0.30714417,0.02397646,0.014049901,0.008475755,SLOW,3583149,2
-0.56573105,0.60575914,0.0038461685,-0.011453724,0.1459968,0.0005345071,SLOW,3583150,2
0.25881004,0.115024686,0.34510517,0.094225965,-0.015882496,0.0048105638,SLOW,3583151,2
0.41287136,-0.54884565,0.75132084,0.018478673,0.008552114,0.049403727,SLOW,3583151,2
0.12888479,0.0064064264,1.4155359,-0.00045814895,-0.035430185,0.036575556,SLOW,3583152,2
0.72612154,0.1422913,-0.09182644,0.024587326,0.027488936,0.054901514,SLOW,3583152,2
1.7500061,0.92053634,-0.67908573,0.030085113,0.010995574,0.10010554,SLOW,3583153,2
-0.16583806,-1.2983428,0.113443375,-0.01450805,0.015882496,0.074449204,SLOW,3583153,2
0.41140735,0.2448386,0.6688566,0.011759156,-0.02687807,0.08116872,SLOW,3583154,2
0.4265126,-0.5876267,-0.1676569,-0.0022907446,-0.111177474,0.06895141,SLOW,3583154,2
0.057068706,-0.66538477,0.71089077,-0.012064588,0.004886922,0.03901902,SLOW,3583155,2
-0.54166853,-0.1888566,-1.1870985,0.00992656,-0.04337143,0.021914791,SLOW,3583155,2
0.07868755,0.03856206,-0.19311333,0.037415497,0.043982297,0.048181996,SLOW,3583156,2
-0.015558481,0.01359725,0.19734097,0.025198191,0.031154128,0.012751812,SLOW,3583156,2
0.49197137,0.06227851,0.28560448,0.033750303,0.07147124,0.035353824,SLOW,3583157,2
0.43757033,0.35926533,-0.022859573,0.032528576,0.09712757,0.012140946,SLOW,3583158,2
-1.0261745,-0.16387105,-0.051700592,0.0154243475,0.039095376,0.0048105638,SLOW,3583158,2
-0.2672944,0.25855798,-0.06402111,0.011148291,0.005497787,0.0023671028,SLOW,3583159,2
-0.1612519,0.40623835,0.79947853,0.0032070426,-0.021991149,-0.008017606,SLOW,3583159,2
-0.5038874,-0.12950492,-0.55567837,0.049632803,0.08674286,0.012140946,SLOW,3583160,2
-0.03106904,0.008845866,0.30805683,-0.0053450707,0.022602014,-0.0012980887,SLOW,3583160,2
-0.14958584,0.43100688,-0.066078186,-0.024281893,-0.03481932,-0.0067958757,SLOW,3583161,2
0.13470209,0.082767606,-0.050657272,-0.008399397,-0.007941248,0.014584408,SLOW,3583161,2
0.37875438,0.634146,0.16078186,0.03436117,0.06414085,0.012140946,SLOW,3583162,2
0.12520897,0.33144462,-0.038409233,-0.021838432,-0.016493361,-0.0037415496,SLOW,3583162,2
0.4095565,0.38087657,-0.1160059,0.03863723,0.045814894,0.006032294,SLOW,3583163,2
0.22830737,0.25478923,-0.21140575,0.04718934,0.035430185,-0.03611741,SLOW,3583164,2
0.63570035,0.95216906,0.8300104,0.017256944,-0.028710667,0.05551238,SLOW,3583164,2
-0.20878541,1.06686,1.4398899,0.032528576,0.062308256,0.018860465,SLOW,3583165,2
-0.027569294,0.24369913,0.47085285,-0.029168816,0.013439035,0.005421429,SLOW,3583165,2
-0.036456347,-0.58060837,-0.43433762,0.019700404,0.004886922,0.01947133,SLOW,3583166,2
-0.59862983,0.2879631,0.12568092,0.008093964,-0.015882496,-0.0129045285,SLOW,3583166,2
-0.0944829,-0.30301222,0.04553318,0.014202617,0.02687807,-0.0025198192,SLOW,3583167,2
